query_id,query_type,system,depth,complete,ndcg_at_10,map,map_at_10,p_at_5,p_at_10,recall_at_10,mrr,mrr_at_10
q13,iconografica_relacional,solo_vlm,50,True,1.0,1.0,1.0,0.2,0.1,1.0,1.0,1.0
q13,iconografica_relacional,ocr_vlm,50,True,0.3562071871080222,0.16666666666666666,0.16666666666666666,0.0,0.1,1.0,0.16666666666666666,0.16666666666666666
q13,iconografica_relacional,ocr_vlm_hybrid_full,50,True,0.38685280723454163,0.2,0.2,0.2,0.1,1.0,0.2,0.2
q13,iconografica_relacional,ocr_vlm_hybrid_segmented,50,True,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
q13,iconografica_relacional,bm25_ocr,10,False,0.43067655807339306,,0.25,0.2,0.1,1.0,,0.25
q13,iconografica_relacional,bm25_fusion,10,False,0.0,,0.0,0.0,0.0,0.0,,0.0
q13,iconografica_relacional,clip_zeroshot,10,False,0.0,,0.0,0.0,0.0,0.0,,0.0
q14,iconografica_relacional,solo_ocr,50,True,0.35914753008966527,0.24475867269984916,0.175,0.2,0.2,0.5,0.5,0.5
q14,iconografica_relacional,solo_vlm,50,True,0.44149241373678083,0.3787593984962406,0.29166666666666663,0.4,0.2,0.5,0.5,0.5
q14,iconografica_relacional,ocr_vlm,50,True,0.44149241373678083,0.41190476190476183,0.29166666666666663,0.4,0.2,0.5,0.5,0.5
q14,iconografica_relacional,ocr_vlm_hybrid_full,50,True,0.6955762265703532,0.5428571428571429,0.5428571428571429,0.6,0.4,1.0,0.5,0.5
q14,iconografica_relacional,ocr_vlm_hybrid_segmented,50,True,1.0,1.0,1.0,0.8,0.4,1.0,1.0,1.0
q14,iconografica_relacional,bm25_ocr,10,False,0.0,,0.0,0.0,0.0,0.0,,0.0
q14,iconografica_relacional,bm25_fusion,10,False,0.9550236580992475,,0.875,0.6,0.4,1.0,,1.0
q14,iconografica_relacional,clip_zeroshot,10,False,0.7541985434892589,,0.5833333333333334,0.4,0.3,0.75,,1.0
q15,iconografica_relacional,solo_ocr,50,True,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0
q15,iconografica_relacional,solo_vlm,50,True,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.023809523809523808,0.0
q15,iconografica_relacional,ocr_vlm,50,True,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.02040816326530612,0.0
q15,iconografica_relacional,ocr_vlm_hybrid_full,50,True,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.02040816326530612,0.0
q15,iconografica_relacional,ocr_vlm_hybrid_segmented,50,True,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
q15,iconografica_relacional,bm25_ocr,10,False,0.0,,0.0,0.0,0.0,0.0,,0.0
q15,iconografica_relacional,bm25_fusion,10,False,0.0,,0.0,0.0,0.0,0.0,,0.0
q15,iconografica_relacional,clip_zeroshot,10,False,0.0,,0.0,0.0,0.0,0.0,,0.0
